GVID-100570,oracle-mysql-cve-2016-0668
GVID-100571,oracle-mysql-cve-2016-0705
GVID-100572,oracle-mysql-cve-2016-2047
GVID-100573,oracle-mysql-cve-2016-2105
GVID-100574,oracle-mysql-cve-2016-3424
GVID-100575,oracle-mysql-cve-2016-3440
GVID-100576,oracle-mysql-cve-2016-3452
GVID-100577,oracle-mysql-cve-2016-3459
GVID-100578,oracle-mysql-cve-2016-3471
GVID-100579,oracle-mysql-cve-2016-3477
GVID-100580,oracle-mysql-cve-2016-3486
GVID-100581,oracle-mysql-cve-2016-3492
GVID-100582,oracle-mysql-cve-2016-3495
GVID-100583,oracle-mysql-cve-2016-3501
GVID-100584,oracle-mysql-cve-2016-3518
GVID-100585,oracle-mysql-cve-2016-3521
GVID-100586,oracle-mysql-cve-2016-3588
GVID-100587,oracle-mysql-cve-2016-3614
GVID-100588,oracle-mysql-cve-2016-3615
GVID-100589,oracle-mysql-cve-2016-5436
GVID-100590,oracle-mysql-cve-2016-5437
GVID-100591,oracle-mysql-cve-2016-5439
GVID-100592,oracle-mysql-cve-2016-5440
GVID-100593,oracle-mysql-cve-2016-5441
GVID-100594,oracle-mysql-cve-2016-5442
GVID-100595,oracle-mysql-cve-2016-5443
GVID-100596,oracle-mysql-cve-2016-5444
GVID-100597,oracle-mysql-cve-2016-5507
GVID-100598,oracle-mysql-cve-2016-5584
GVID-100599,oracle-mysql-cve-2016-5609
GVID-100600,oracle-mysql-cve-2016-5612
GVID-100601,oracle-mysql-cve-2016-5624
GVID-100602,oracle-mysql-cve-2016-5625
GVID-100603,oracle-mysql-cve-2016-5626
GVID-100604,oracle-mysql-cve-2016-5627
